"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|CH","Without Sequence","56.61","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|CH","Without Sequence","54.90","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|CH","Without Sequence","54.46","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|CH","Without Sequence","54.15","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|CH","Without Sequence","54.50","",""
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|CH","Without Sequence","52.10","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|CH","Without Sequence","47.66","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|CH","Without Sequence","44.03","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|CH","Without Sequence","36.66","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|CH","Without Sequence","30.00","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|CH","Without Sequence","23.98","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|CH","Without Sequence","23.10","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|CH","Without Sequence","25.28","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|CH","Without Sequence","36.51","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|CH","Without Sequence","42.47","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|CH","Without Sequence","50.82","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|CH","Without Sequence","54.31","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|CH","Without Sequence","54.37","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|CH","Without Sequence","53.68","",""
