"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|NL","Without Sequence","158.00","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|NL","Without Sequence","188.04","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|NL","Without Sequence","227.40","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|NL","Without Sequence","231.00","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|NL","Without Sequence","228.70","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|NL","Without Sequence","220.00","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|NL","Without Sequence","198.63","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|NL","Without Sequence","200.00","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|NL","Without Sequence","220.00","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|NL","Without Sequence","215.00","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|NL","Without Sequence","228.70","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|NL","Without Sequence","299.00","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|NL","Without Sequence","315.25","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|NL","Without Sequence","251.03","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|NL","Without Sequence","181.10","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|NL","Without Sequence","227.80","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|NL","Without Sequence","141.45","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|NL","Without Sequence","140.00","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|NL","Without Sequence","225.00","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|NL","Without Sequence","187.87","",""
